Time [s], Analyzer Name, Decoded Protocol Result
12.121475000000000,To programmer,'2' (0x02)
12.122000000000000,To programmer,: (0x3A)
12.122525000000000,To programmer,'28' (0x1C)
12.123049999999999,To programmer,'3' (0x03)
12.242834999999999,To programmer,( (0x28)
12.243359999999999,To programmer,'223' (0xDF)
12.243885000000001,To programmer,'8' (0x08)
12.244410000000000,To programmer,9 (0x39)
12.244940000000000,To programmer,: (0x3A)
12.245464999999999,To programmer,\n (0x0A)
12.245990000000001,To programmer,'29' (0x1D)
12.246515000000000,To programmer,'3' (0x03)
12.247040000000000,To programmer,( (0x28)
12.247565000000000,To programmer,'160' (0xA0)
12.248089999999999,To programmer,'18' (0x12)
12.248614999999999,To programmer,'131' (0x83)
12.249140000000001,To programmer,'22' (0x16)
12.249670000000000,To programmer,'5' (0x05)
12.250195000000000,To programmer,! (0x21)
12.250719999999999,To programmer,Z (0x5A)
12.251245000000001,To programmer,'0' (0x00)
12.251770000000000,To programmer,'8' (0x08)
12.252295000000000,To programmer,: (0x3A)
12.252820000000000,To programmer,'0' (0x00)
12.253344999999999,To programmer,'25' (0x19)
12.253875000000001,To programmer,'3' (0x03)
12.254400000000000,To programmer,) (0x29)
12.254925000000000,To programmer,'1' (0x01)
12.255450000000000,To programmer,: (0x3A)
12.255974999999999,To programmer,'128' (0x80)
12.256500000000001,To programmer,'25' (0x19)
12.257025000000001,To programmer,'3' (0x03)
12.257550000000000,To programmer,) (0x29)
12.258075000000000,To programmer,'11' (0x0B)
12.258604999999999,To programmer,'1' (0x01)
12.259130000000001,To programmer,'175' (0xAF)
12.377915000000000,To programmer,4 (0x34)
12.378439999999999,To programmer,'0' (0x00)
12.378965000000001,To programmer,'8' (0x08)
12.379490000000001,To programmer,. (0x2E)
12.380015000000000,To programmer,'0' (0x00)
12.380545000000000,To programmer,'132' (0x84)
12.381069999999999,To programmer,'19' (0x13)
12.381595000000001,To programmer,'131' (0x83)
12.382120000000000,To programmer,'24' (0x18)
12.382645000000000,To programmer,/ (0x2F)
12.383170000000000,To programmer,'23' (0x17)
12.383694999999999,To programmer,'131' (0x83)
12.384219999999999,To programmer,'8' (0x08)
12.384750000000000,To programmer,'0' (0x00)
12.385275000000000,To programmer,'0' (0x00)
12.385800000000000,To programmer,'175' (0xAF)
12.386324999999999,To programmer,\n (0x0A)
12.386850000000001,To programmer,'132' (0x84)
12.387375000000000,To programmer,'8' (0x08)
12.387900000000000,To programmer,'0' (0x00)
12.388425000000000,To programmer,'0' (0x00)
12.388949999999999,To programmer,'8' (0x08)
12.389480000000001,To programmer,'0' (0x00)
12.390005000000000,To programmer,'0' (0x00)
12.390530000000000,To programmer,'0' (0x00)
12.391055000000000,To programmer,'0' (0x00)
12.391579999999999,To programmer,! (0x21)
12.392105000000001,To programmer,( (0x28)
12.392630000000000,To programmer,'0' (0x00)
12.393155000000000,To programmer,'173' (0xAD)
12.393680000000000,To programmer,'15' (0x0F)
12.394209999999999,To programmer,'174' (0xAE)
12.513975000000000,To programmer,'3' (0x03)
12.514500000000000,To programmer,'175' (0xAF)
12.515029999999999,To programmer,\n (0x0A)
12.515555000000001,To programmer,'175' (0xAF)
12.516080000000001,To programmer,'0' (0x00)
12.516605000000000,To programmer,'0' (0x00)
12.517130000000000,To programmer,'0' (0x00)
12.517655000000000,To programmer,'0' (0x00)
12.518179999999999,To programmer,! (0x21)
12.518705000000001,To programmer,( (0x28)
12.519230000000000,To programmer,'0' (0x00)
12.519760000000000,To programmer,'172' (0xAC)
12.520284999999999,To programmer,'8' (0x08)
12.520810000000001,To programmer,- (0x2D)
12.521335000000001,To programmer,'0' (0x00)
12.521860000000000,To programmer,'175' (0xAF)
12.522385000000000,To programmer,'8' (0x08)
12.522910000000000,To programmer,COMMA (0x2C)
12.523434999999999,To programmer,'0' (0x00)
12.523960000000001,To programmer,'8' (0x08)
12.524490000000000,To programmer,: (0x3A)
12.525015000000000,To programmer,'0' (0x00)
12.525539999999999,To programmer,'25' (0x19)
12.526064999999999,To programmer,'3' (0x03)
12.526590000000001,To programmer,) (0x29)
12.527115000000000,To programmer,! (0x21)
12.527640000000000,To programmer,: (0x3A)
12.528165000000000,To programmer,'128' (0x80)
12.528689999999999,To programmer,'25' (0x19)
12.529220000000000,To programmer,'3' (0x03)
12.529745000000000,To programmer,) (0x29)
12.530270000000000,To programmer,( (0x28)
12.650090000000001,To programmer,4 (0x34)
12.650615000000000,To programmer,'0' (0x00)
12.651140000000000,To programmer,'8' (0x08)
12.651664999999999,To programmer,. (0x2E)
12.652189999999999,To programmer,'0' (0x00)
12.652720000000000,To programmer,'132' (0x84)
12.653245000000000,To programmer,'19' (0x13)
12.653770000000000,To programmer,'131' (0x83)
12.654294999999999,To programmer,'24' (0x18)
12.654820000000001,To programmer,/ (0x2F)
12.655345000000001,To programmer,'23' (0x17)
12.655870000000000,To programmer,'131' (0x83)
12.656395000000000,To programmer,'8' (0x08)
12.656920000000000,To programmer,'0' (0x00)
12.657450000000001,To programmer,'0' (0x00)
12.657975000000000,To programmer,'8' (0x08)
12.658500000000000,To programmer,'8' (0x08)
12.659025000000000,To programmer,/ (0x2F)
12.659549999999999,To programmer,'0' (0x00)
12.660075000000001,To programmer,'138' (0x8A)
12.660600000000001,To programmer,'8' (0x08)
12.661125000000000,To programmer,. (0x2E)
12.661650000000000,To programmer,'0' (0x00)
12.662179999999999,To programmer,'130' (0x82)
12.662705000000001,To programmer,'0' (0x00)
12.663230000000000,To programmer,'8' (0x08)
12.663755000000000,To programmer,'0' (0x00)
12.664280000000000,To programmer,'183' (0xB7)
12.664804999999999,To programmer,'8' (0x08)
12.665330000000001,To programmer,/ (0x2F)
